,sex,totalpositive2,date,case_percent,deaths,deaths_percent,ca_percent
386,Male,266780,2020-08-07,48.9,5718.0,57.3,49.7
387,Unknown,5884,2020-08-07,1.1,12.0,0.1,0.0
388,Female,277523,2020-08-08,50.1,4328.0,42.5,50.3
389,Male,270528,2020-08-08,48.8,5831.0,57.3,49.7
390,Unknown,6109,2020-08-08,1.1,14.0,0.1,0.0
391,Female,281543,2020-08-09,50.1,4363.0,42.6,50.3
392,Male,274192,2020-08-09,48.8,5870.0,57.3,49.7
393,Unknown,6176,2020-08-09,1.1,14.0,0.1,0.0
394,Female,287810,2020-08-10,50.1,4376.0,42.6,50.3
395,Male,279981,2020-08-10,48.7,5881.0,57.3,49.7
396,Unknown,6620,2020-08-10,1.2,15.0,0.1,0.0
397,Female,293952,2020-08-11,50.2,4462.0,42.5,50.3
398,Male,285476,2020-08-11,48.7,6012.0,57.3,49.7
399,Unknown,6628,2020-08-11,1.1,17.0,0.2,0.0
400,Female,297645,2020-08-12,50.2,4537.0,42.5,50.3
401,Male,288921,2020-08-12,48.7,6112.0,57.3,49.7
402,Unknown,6575,2020-08-12,1.1,17.0,0.2,0.0
403,Female,301863,2020-08-13,50.2,4602.0,42.5,50.3
404,Male,292627,2020-08-13,48.7,6211.0,57.3,49.7
405,Unknown,6585,2020-08-13,1.1,18.0,0.2,0.0
406,Female,308346,2020-08-14,50.2,4673.0,42.5,50.3
407,Male,298738,2020-08-14,48.7,6304.0,57.3,49.7
408,Unknown,6605,2020-08-14,1.1,17.0,0.2,0.0
409,Female,312301,2020-08-15,50.2,4714.0,42.5,50.3
410,Male,302532,2020-08-15,48.7,6371.0,57.4,49.7
411,Unknown,6729,2020-08-15,1.1,19.0,0.2,0.0
412,Female,315642,2020-08-16,50.3,4718.0,42.5,50.3
413,Male,305562,2020-08-16,48.7,6377.0,57.4,49.7
414,Unknown,6827,2020-08-16,1.1,19.0,0.2,0.0
415,Female,317984,2020-08-17,50.3,4728.0,42.4,50.3
416,Male,307821,2020-08-17,48.7,6402.0,57.4,49.7
417,Unknown,6862,2020-08-17,1.1,15.0,0.1,0.0
418,Female,321189,2020-08-18,50.3,4784.0,42.3,50.3
419,Male,310752,2020-08-18,48.6,6502.0,57.5,49.7
420,Unknown,6890,2020-08-18,1.1,15.0,0.1,0.0
421,Female,324262,2020-08-19,50.3,4856.0,42.4,50.3
422,Male,313639,2020-08-19,48.6,6594.0,57.5,49.7
423,Unknown,6850,2020-08-19,1.1,16.0,0.1,0.0
424,Female,327161,2020-08-20,50.3,4905.0,42.3,50.3
425,Male,316372,2020-08-20,48.6,6667.0,57.5,49.7
426,Unknown,6803,2020-08-20,1.0,18.0,0.2,0.0
427,Female,330632,2020-08-21,50.3,4966.0,42.3,50.3
428,Male,319444,2020-08-21,48.6,6758.0,57.6,49.7
429,Unknown,6816,2020-08-21,1.0,17.0,0.1,0.0
430,Female,334071,2020-08-22,50.3,5044.0,42.2,50.3
431,Male,322768,2020-08-22,48.6,6883.0,57.6,49.7
432,Unknown,6830,2020-08-22,1.0,18.0,0.2,0.0
433,Female,336578,2020-08-23,50.3,5047.0,42.2,50.3
434,Male,325212,2020-08-23,48.6,6887.0,57.6,49.7
435,Unknown,6825,2020-08-23,1.0,21.0,0.2,0.0
436,Female,338946,2020-08-24,50.4,5071.0,42.2,50.3
437,Male,327315,2020-08-24,48.6,6911.0,57.6,49.7
438,Unknown,6834,2020-08-24,1.0,21.0,0.2,0.0
439,Female,342058,2020-08-25,50.4,5140.0,42.3,50.3
440,Male,330194,2020-08-25,48.6,6998.0,57.6,49.7
441,Unknown,6847,2020-08-25,1.0,20.0,0.2,0.0
442,Female,344479,2020-08-26,50.4,5203.0,42.3,50.3
443,Male,332354,2020-08-26,48.6,7072.0,57.5,49.7
444,Unknown,6696,2020-08-26,1.0,21.0,0.2,0.0
445,Female,347253,2020-08-27,50.4,5273.0,42.3,50.3
446,Male,334946,2020-08-27,48.6,7166.0,57.5,49.7
447,Unknown,6659,2020-08-27,1.0,22.0,0.2,0.0
448,Female,349907,2020-08-28,50.4,5317.0,42.3,50.3
449,Male,337348,2020-08-28,48.6,7230.0,57.5,49.7
450,Unknown,6584,2020-08-28,0.9,22.0,0.2,0.0
451,Female,353037,2020-08-29,50.4,5388.0,42.3,50.3
452,Male,340298,2020-08-29,48.6,7335.0,57.6,49.7
453,Unknown,6574,2020-08-29,0.9,22.0,0.2,0.0
454,Female,355181,2020-08-30,50.4,5399.0,42.3,50.3
455,Male,342297,2020-08-30,48.6,7336.0,57.5,49.7
456,Unknown,6607,2020-08-30,0.9,22.0,0.2,0.0
457,Female,357162,2020-08-31,50.5,5409.0,42.3,50.3
458,Male,344006,2020-08-31,48.6,7364.0,57.6,49.7
459,Unknown,6629,2020-08-31,0.9,22.0,0.2,0.0
460,Female,359315,2020-09-01,50.5,5473.0,42.3,50.3
461,Male,346117,2020-09-01,48.6,7456.0,57.6,49.7
462,Unknown,6620,2020-09-01,0.9,24.0,0.2,0.0
463,Female,362183,2020-09-02,50.5,5538.0,42.2,50.3
464,Male,348495,2020-09-02,48.6,7558.0,57.6,49.7
465,Unknown,6499,2020-09-02,0.9,24.0,0.2,0.0
466,Female,364956,2020-09-03,50.5,5616.0,42.3,50.3
467,Male,350835,2020-09-03,48.6,7652.0,57.6,49.7
468,Unknown,6492,2020-09-03,0.9,24.0,0.2,0.0
469,Female,367462,2020-09-04,50.5,5699.0,42.3,50.3
470,Male,353245,2020-09-04,48.6,7746.0,57.5,49.7
471,Unknown,6532,2020-09-04,0.9,24.0,0.2,0.0
472,Female,369877,2020-09-05,50.5,5755.0,42.3,50.3
473,Male,355719,2020-09-05,48.6,7814.0,57.5,49.7
474,Unknown,6548,2020-09-05,0.9,23.0,0.2,0.0
475,Female,371456,2020-09-06,50.5,5760.0,42.4,50.3
476,Male,357224,2020-09-06,48.6,7813.0,57.5,49.7
477,Unknown,6555,2020-09-06,0.9,23.0,0.2,0.0
478,Female,372728,2020-09-07,50.5,5783.0,42.4,50.3
479,Male,358617,2020-09-07,48.6,7841.0,57.5,49.7
480,Unknown,6566,2020-09-07,0.9,23.0,0.2,0.0
481,Female,373544,2020-09-08,50.5,5823.0,42.4,50.3
482,Male,359429,2020-09-08,48.6,7881.0,57.4,49.7
483,Unknown,6554,2020-09-08,0.9,23.0,0.2,0.0
484,Female,375254,2020-09-09,50.5,5875.0,42.4,50.3
485,Male,361051,2020-09-09,48.6,7949.0,57.4,49.7
486,Unknown,6560,2020-09-09,0.9,23.0,0.2,0.0
487,Female,376954,2020-09-10,50.5,5927.0,42.4,50.3
488,Male,362679,2020-09-10,48.6,8012.0,57.4,49.7
489,Unknown,6558,2020-09-10,0.9,24.0,0.2,0.0
490,Female,378984,2020-09-11,50.5,5975.0,42.4,50.3
491,Male,364731,2020-09-11,48.6,8083.0,57.4,49.7
492,Unknown,6583,2020-09-11,0.9,24.0,0.2,0.0
493,Female,381278,2020-09-12,50.5,6031.0,42.4,50.3
494,Male,367162,2020-09-12,48.6,8154.0,57.4,49.7
495,Unknown,6483,2020-09-12,0.9,25.0,0.2,0.0
496,Female,382809,2020-09-13,50.5,6030.0,42.4,50.3
497,Male,368459,2020-09-13,48.6,8156.0,57.4,49.7
498,Unknown,6510,2020-09-13,0.9,25.0,0.2,0.0
499,Female,383892,2020-09-14,50.5,6055.0,42.5,50.3
500,Male,369597,2020-09-14,48.6,8180.0,57.4,49.7
501,Unknown,6524,2020-09-14,0.9,25.0,0.2,0.0
502,Female,385393,2020-09-15,50.5,6132.0,42.6,50.3
503,Male,371046,2020-09-15,48.6,8254.0,57.3,49.7
504,Unknown,6524,2020-09-15,0.9,25.0,0.2,0.0
505,Female,386895,2020-09-16,50.5,6176.0,42.5,50.3
506,Male,372752,2020-09-16,48.6,8315.0,57.3,49.7
507,Unknown,6554,2020-09-16,0.9,26.0,0.2,0.0
508,Female,388633,2020-09-17,50.5,6224.0,42.6,50.3
509,Male,374646,2020-09-17,48.7,8377.0,57.3,49.7
510,Unknown,6552,2020-09-17,0.9,26.0,0.2,0.0
511,Female,390834,2020-09-18,50.5,6277.0,42.5,50.3
512,Male,376730,2020-09-18,48.7,8457.0,57.3,49.7
513,Unknown,6571,2020-09-18,0.8,28.0,0.2,0.0
514,Female,392944,2020-09-19,50.5,6320.0,42.6,50.3
515,Male,378892,2020-09-19,48.7,8500.0,57.2,49.7
516,Unknown,6564,2020-09-19,0.8,28.0,0.2,0.0
517,Female,394632,2020-09-20,50.5,6329.0,42.6,50.3
518,Male,380480,2020-09-20,48.7,8516.0,57.3,49.7
519,Unknown,6582,2020-09-20,0.8,28.0,0.2,0.0
520,Female,395828,2020-09-21,50.5,6346.0,42.6,50.3
521,Male,381901,2020-09-21,48.7,8526.0,57.2,49.7
522,Unknown,6595,2020-09-21,0.8,28.0,0.2,0.0
523,Female,397436,2020-09-22,50.5,6397.0,42.5,50.3
524,Male,383438,2020-09-22,48.7,8611.0,57.3,49.7
525,Unknown,6596,2020-09-22,0.8,30.0,0.2,0.0
526,Female,399084,2020-09-23,50.5,6450.0,42.6,50.3
527,Male,384959,2020-09-23,48.7,8674.0,57.2,49.7
528,Unknown,6597,2020-09-23,0.8,30.0,0.2,0.0
529,Female,400779,2020-09-24,50.5,6500.0,42.6,50.3
530,Male,386661,2020-09-24,48.7,8725.0,57.2,49.7
531,Unknown,6600,2020-09-24,0.8,31.0,0.2,0.0
532,Female,402911,2020-09-25,50.5,6553.0,42.7,50.3
533,Male,388687,2020-09-25,48.7,8776.0,57.1,49.7
534,Unknown,6639,2020-09-25,0.8,32.0,0.2,0.0
535,Female,404887,2020-09-26,50.5,6585.0,42.7,50.3
536,Male,390753,2020-09-26,48.7,8815.0,57.1,49.7
537,Unknown,6668,2020-09-26,0.8,32.0,0.2,0.0
538,Female,406263,2020-09-27,50.5,6595.0,42.7,50.3
539,Male,392328,2020-09-27,48.7,8824.0,57.1,49.7
540,Unknown,6672,2020-09-27,0.8,32.0,0.2,0.0
541,Female,407312,2020-09-28,50.4,6598.0,42.7,50.3
542,Male,393417,2020-09-28,48.7,8834.0,57.1,49.7
543,Unknown,6696,2020-09-28,0.8,30.0,0.2,0.0
544,Female,408908,2020-09-29,50.4,6683.0,42.7,50.3
545,Male,395012,2020-09-29,48.7,8943.0,57.1,49.7
546,Unknown,6705,2020-09-29,0.8,31.0,0.2,0.0
547,Female,410433,2020-09-30,50.4,6729.0,42.7,50.3
548,Male,396552,2020-09-30,48.7,8997.0,57.1,49.7
549,Unknown,6702,2020-09-30,0.8,31.0,0.2,0.0
550,Female,412239,2020-10-01,50.4,6787.0,42.6,50.3
551,Male,398313,2020-10-01,48.7,9100.0,57.2,49.7
552,Unknown,6725,2020-10-01,0.8,31.0,0.2,0.0
553,Female,413300,2020-10-02,50.4,6795.0,42.7,50.3
554,Male,399431,2020-10-02,48.7,9106.0,57.2,49.7
555,Unknown,6705,2020-10-02,0.8,31.0,0.2,0.0
556,Female,415440,2020-10-03,50.4,6821.0,42.6,50.3
557,Male,401556,2020-10-03,48.7,9147.0,57.2,49.7
558,Unknown,6733,2020-10-03,0.8,31.0,0.2,0.0
559,Female,416956,2020-10-04,50.4,6829.0,42.6,50.3
560,Male,403070,2020-10-04,48.8,9160.0,57.2,49.7
561,Unknown,6758,2020-10-04,0.8,31.0,0.2,0.0
562,Female,417819,2020-10-05,50.4,6839.0,42.6,50.3
563,Male,403885,2020-10-05,48.8,9176.0,57.2,49.7
564,Unknown,6757,2020-10-05,0.8,31.0,0.2,0.0
565,Female,419257,2020-10-06,50.4,6883.0,42.7,50.3
566,Male,405212,2020-10-06,48.7,9220.0,57.2,49.7
567,Unknown,6756,2020-10-06,0.8,28.0,0.2,0.0
568,Female,421112,2020-10-07,50.4,6922.0,42.7,50.3
569,Male,406928,2020-10-07,48.7,9275.0,57.2,49.7
570,Unknown,6760,2020-10-07,0.8,28.0,0.2,0.0
571,Female,423126,2020-10-08,50.5,6958.0,42.7,50.3
572,Male,408687,2020-10-08,48.7,9311.0,57.1,49.7
573,Unknown,6793,2020-10-08,0.8,29.0,0.2,0.0
574,Female,425304,2020-10-09,50.5,6990.0,42.7,50.3
575,Male,410644,2020-10-09,48.7,9362.0,57.2,49.7
576,Unknown,6828,2020-10-09,0.8,28.0,0.2,0.0
577,Female,427180,2020-10-10,50.5,7026.0,42.7,50.3
578,Male,412555,2020-10-10,48.7,9406.0,57.1,49.7
579,Unknown,6844,2020-10-10,0.8,28.0,0.2,0.0
580,Female,428996,2020-10-11,50.5,7026.0,42.7,50.3
581,Male,414166,2020-10-11,48.7,9416.0,57.2,49.7
582,Unknown,6866,2020-10-11,0.8,28.0,0.2,0.0
583,Female,430237,2020-10-12,50.5,7032.0,42.7,50.3
584,Male,415294,2020-10-12,48.7,9420.0,57.2,49.7
585,Unknown,6875,2020-10-12,0.8,28.0,0.2,0.0
586,Female,431587,2020-10-13,50.5,7055.0,42.7,50.3
587,Male,416579,2020-10-13,48.7,9439.0,57.1,49.7
588,Unknown,6906,2020-10-13,0.8,28.0,0.2,0.0
589,Female,433299,2020-10-14,50.5,7105.0,42.7,50.3
590,Male,418205,2020-10-14,48.7,9488.0,57.1,49.7
591,Unknown,6897,2020-10-14,0.8,28.0,0.2,0.0
592,Female,434912,2020-10-15,50.5,7138.0,42.7,50.3
593,Male,419655,2020-10-15,48.7,9545.0,57.1,49.7
594,Unknown,6909,2020-10-15,0.8,29.0,0.2,0.0
595,Female,436495,2020-10-16,50.5,7184.0,42.8,50.3
596,Male,421047,2020-10-16,48.7,9576.0,57.0,49.7
597,Unknown,6913,2020-10-16,0.8,30.0,0.2,0.0
598,Female,437997,2020-10-17,50.5,7225.0,42.8,50.3
599,Male,422413,2020-10-17,48.7,9628.0,57.0,49.7
600,Unknown,6907,2020-10-17,0.8,30.0,0.2,0.0
601,Female,439844,2020-10-18,50.5,7230.0,42.8,50.3
602,Male,424039,2020-10-18,48.7,9634.0,57.0,49.7
603,Unknown,6908,2020-10-18,0.8,30.0,0.2,0.0
604,Female,441502,2020-10-19,50.5,7238.0,42.8,50.3
605,Male,425648,2020-10-19,48.7,9640.0,57.0,49.7
606,Unknown,6927,2020-10-19,0.8,30.0,0.2,0.0
607,Female,443416,2020-10-20,50.5,7273.0,42.8,50.3
608,Male,427427,2020-10-20,48.7,9684.0,57.0,49.7
609,Unknown,6941,2020-10-20,0.8,30.0,0.2,0.0
610,Female,444925,2020-10-21,50.5,7327.0,42.8,50.3
611,Male,428858,2020-10-21,48.7,9767.0,57.0,49.7
612,Unknown,6941,2020-10-21,0.8,29.0,0.2,0.0
613,Female,448100,2020-10-22,50.5,7358.0,42.8,50.3
614,Male,431774,2020-10-22,48.7,9798.0,57.0,49.7
615,Unknown,6991,2020-10-22,0.8,29.0,0.2,0.0
616,Female,451184,2020-10-23,50.5,7373.0,42.8,50.3
617,Male,434601,2020-10-23,48.7,9829.0,57.0,49.7
618,Unknown,7025,2020-10-23,0.8,29.0,0.2,0.0
619,Female,453853,2020-10-24,50.5,7393.0,42.8,50.3
620,Male,437115,2020-10-24,48.7,9864.0,57.1,49.7
621,Unknown,7061,2020-10-24,0.8,29.0,0.2,0.0
622,Female,455339,2020-10-25,50.5,7400.0,42.8,50.3
623,Male,438587,2020-10-25,48.7,9869.0,57.1,49.7
624,Unknown,7084,2020-10-25,0.8,29.0,0.2,0.0
625,Female,456990,2020-10-26,50.5,7409.0,42.8,50.3
626,Male,440111,2020-10-26,48.7,9875.0,57.0,49.7
627,Unknown,7097,2020-10-26,0.8,29.0,0.2,0.0
628,Female,459278,2020-10-27,50.5,7440.0,42.7,50.3
629,Male,442321,2020-10-27,48.7,9960.0,57.1,49.7
630,Unknown,7114,2020-10-27,0.8,29.0,0.2,0.0
631,Female,461383,2020-10-28,50.5,7475.0,42.7,50.3
632,Male,444378,2020-10-28,48.7,9996.0,57.1,49.7
633,Unknown,7143,2020-10-28,0.8,31.0,0.2,0.0
634,Female,463411,2020-10-29,50.5,7487.0,42.7,50.3
635,Male,446320,2020-10-29,48.7,10028.0,57.1,49.7
636,Unknown,7187,2020-10-29,0.8,32.0,0.2,0.0
637,Female,466008,2020-10-30,50.5,7506.0,42.6,50.3
638,Male,448772,2020-10-30,48.7,10067.0,57.2,49.7
639,Unknown,7225,2020-10-30,0.8,32.0,0.2,0.0
640,Female,468321,2020-10-31,50.5,7533.0,42.7,50.3
641,Male,450953,2020-10-31,48.7,10098.0,57.2,49.7
642,Unknown,7260,2020-10-31,0.8,31.0,0.2,0.0
643,Female,470424,2020-11-01,50.5,7541.0,42.6,50.3
644,Male,452908,2020-11-01,48.7,10111.0,57.2,49.7
645,Unknown,7296,2020-11-01,0.8,31.0,0.2,0.0
646,Female,472513,2020-11-02,50.6,7543.0,42.6,50.3
647,Male,454850,2020-11-02,48.7,10118.0,57.2,49.7
648,Unknown,7309,2020-11-02,0.8,31.0,0.2,0.0
649,Female,475256,2020-11-03,50.6,7574.0,42.6,50.3
650,Male,457423,2020-11-03,48.7,10166.0,57.2,49.7
651,Unknown,7331,2020-11-03,0.8,31.0,0.2,0.0
652,Female,477502,2020-11-04,50.6,7610.0,42.7,50.3
653,Male,459667,2020-11-04,48.7,10192.0,57.2,49.7
654,Unknown,7407,2020-11-04,0.8,31.0,0.2,0.0
655,Female,480900,2020-11-05,50.6,7642.0,42.7,50.3
656,Male,462738,2020-11-05,48.7,10225.0,57.1,49.7
657,Unknown,7456,2020-11-05,0.8,31.0,0.2,0.0
658,Female,483919,2020-11-06,50.6,7662.0,42.7,50.3
659,Male,465544,2020-11-06,48.6,10251.0,57.1,49.7
660,Unknown,7494,2020-11-06,0.8,31.0,0.2,0.0
661,Female,487884,2020-11-07,50.6,7689.0,42.7,50.3
662,Male,469207,2020-11-07,48.6,10297.0,57.2,49.7
663,Unknown,7548,2020-11-07,0.8,31.0,0.2,0.0
664,Female,491542,2020-11-08,50.6,7690.0,42.7,50.3
665,Male,472695,2020-11-08,48.6,10298.0,57.2,49.7
666,Unknown,7614,2020-11-08,0.8,31.0,0.2,0.0
667,Female,494286,2020-11-09,50.6,7695.0,42.7,50.3
668,Male,475297,2020-11-09,48.6,10301.0,57.1,49.7
669,Unknown,7635,2020-11-09,0.8,31.0,0.2,0.0
670,Female,497954,2020-11-10,50.6,7722.0,42.7,50.3
671,Male,479043,2020-11-10,48.6,10341.0,57.2,49.7
672,Unknown,7685,2020-11-10,0.8,31.0,0.2,0.0
673,Female,501490,2020-11-11,50.6,7740.0,42.7,50.3
674,Male,482394,2020-11-11,48.6,10366.0,57.2,49.7
675,Unknown,7725,2020-11-11,0.8,31.0,0.2,0.0
676,Female,505051,2020-11-12,50.6,7753.0,42.7,50.3
677,Male,485678,2020-11-12,48.6,10379.0,57.1,49.7
678,Unknown,7773,2020-11-12,0.8,31.0,0.2,0.0
679,Female,510169,2020-11-13,50.6,7780.0,42.7,50.3
680,Male,490387,2020-11-13,48.6,10426.0,57.2,49.7
681,Unknown,7821,2020-11-13,0.8,31.0,0.2,0.0
682,Female,515924,2020-11-14,50.6,7804.0,42.6,50.3
683,Male,495550,2020-11-14,48.6,10466.0,57.2,49.7
684,Unknown,7871,2020-11-14,0.8,32.0,0.2,0.0
685,Female,520859,2020-11-15,50.6,7817.0,42.7,50.3
686,Male,500408,2020-11-15,48.6,10475.0,57.2,49.7
687,Unknown,7968,2020-11-15,0.8,31.0,0.2,0.0
688,Female,525328,2020-11-16,50.6,7825.0,42.7,50.3
689,Male,504618,2020-11-16,48.6,10487.0,57.2,49.7
690,Unknown,8032,2020-11-16,0.8,31.0,0.2,0.0
691,Female,530421,2020-11-17,50.6,7848.0,42.7,50.3
692,Male,509304,2020-11-17,48.6,10516.0,57.2,49.7
693,Unknown,8064,2020-11-17,0.8,31.0,0.2,0.0
694,Female,536393,2020-11-18,50.6,7897.0,42.7,50.3
695,Male,514692,2020-11-18,48.6,10574.0,57.2,49.7
696,Unknown,8182,2020-11-18,0.8,31.0,0.2,0.0
697,Female,543000,2020-11-19,50.6,7925.0,42.6,50.3
698,Male,520928,2020-11-19,48.6,10637.0,57.2,49.7
699,Unknown,8344,2020-11-19,0.8,31.0,0.2,0.0
700,Female,550885,2020-11-20,50.6,7966.0,42.6,50.3
701,Male,528371,2020-11-20,48.6,10684.0,57.2,49.7
702,Unknown,8458,2020-11-20,0.8,31.0,0.2,0.0
703,Female,558242,2020-11-21,50.7,7996.0,42.6,50.3
704,Male,535242,2020-11-21,48.6,10727.0,57.2,49.7
705,Unknown,8549,2020-11-21,0.8,31.0,0.2,0.0
706,Female,562480,2020-11-22,50.7,8005.0,42.6,50.3
707,Male,539261,2020-11-22,48.6,10759.0,57.2,49.7
708,Unknown,8629,2020-11-22,0.8,32.0,0.2,0.0
709,Female,570248,2020-11-23,50.7,8013.0,42.6,50.3
710,Male,546676,2020-11-23,48.6,10772.0,57.2,49.7
711,Unknown,8775,2020-11-23,0.8,32.0,0.2,0.0
712,Female,579540,2020-11-24,50.7,8062.0,42.6,50.3
713,Male,555627,2020-11-24,48.6,10836.0,57.2,49.7
714,Unknown,8882,2020-11-24,0.8,32.0,0.2,0.0
715,Female,586945,2020-11-25,50.7,8109.0,42.6,50.3
716,Male,562702,2020-11-25,48.6,10890.0,57.2,49.7
717,Unknown,9042,2020-11-25,0.8,32.0,0.2,0.0
718,Female,593595,2020-11-26,50.7,8134.0,42.6,50.3
719,Male,568573,2020-11-26,48.5,10942.0,57.3,49.7
720,Unknown,9156,2020-11-26,0.8,33.0,0.2,0.0
721,Female,599687,2020-11-27,50.7,8153.0,42.6,50.3
722,Male,574323,2020-11-27,48.5,10969.0,57.3,49.7
723,Unknown,9310,2020-11-27,0.8,32.0,0.2,0.0
724,Female,607559,2020-11-28,50.7,8169.0,42.6,50.3
725,Male,581955,2020-11-28,48.5,10989.0,57.3,49.7
726,Unknown,9420,2020-11-28,0.8,31.0,0.2,0.0
727,Female,614770,2020-11-29,50.7,8185.0,42.6,50.3
728,Male,588688,2020-11-29,48.5,11004.0,57.3,49.7
729,Unknown,9510,2020-11-29,0.8,31.0,0.2,0.0
730,Female,620979,2020-11-30,50.7,8200.0,42.6,50.3
731,Male,594629,2020-11-30,48.5,11018.0,57.2,49.7
732,Unknown,9581,2020-11-30,0.8,31.0,0.2,0.0
733,Female,631636,2020-12-01,50.7,8253.0,42.6,50.3
734,Male,604591,2020-12-01,48.5,11084.0,57.2,49.7
735,Unknown,9721,2020-12-01,0.8,31.0,0.2,0.0
736,Female,641220,2020-12-02,50.7,8300.0,42.6,50.3
737,Male,613458,2020-12-02,48.5,11150.0,57.2,49.7
738,Unknown,9861,2020-12-02,0.8,31.0,0.2,0.0
739,Female,652467,2020-12-03,50.7,8387.0,42.6,50.3
740,Male,623621,2020-12-03,48.5,11260.0,57.2,49.7
741,Unknown,10469,2020-12-03,0.8,35.0,0.2,0.0
