# Cases Age [0-4],# Cases Age [18-34],# Cases Age [35-49],# Cases Age [5-17],# Cases Age [50-64],# Cases Age [65+],# Cases Race/Ethnicity: Another/Multiple,# Cases Race/Ethnicity: Asian/Pacific Islander,# Cases Race/Ethnicity: Hispanic/Latino,# Cases Race/Ethnicity: Non-Hispanic Black,# Cases Race/Ethnicity: Non-Hispanic White,# Cases Race/Ethnicity: Unknown,# Deaths Age [0-4],# Deaths Age [18-34],# Deaths Age [35-49],# Deaths Age [5-17],# Deaths Age [50-64],# Deaths Age [65+],# Deaths Race/Ethnicity: Another/Multiple,# Deaths Race/Ethnicity: Asian/Pacific Islander,# Deaths Race/Ethnicity: Hispanic/Latino,# Deaths Race/Ethnicity: Non-Hispanic Black,# Deaths Race/Ethnicity: Non-Hispanic White,# Deaths Race/Ethnicity: Unknown,% Cases Age [0-4],% Cases Age [18-34],% Cases Age [35-49],% Cases Age [5-17],% Cases Age [50-64],% Cases Age [65+],% Cases Race/Ethnicity: Another/Multiple,% Cases Race/Ethnicity: Asian/Pacific Islander,% Cases Race/Ethnicity: Hispanic/Latino,% Cases Race/Ethnicity: Non-Hispanic Black,% Cases Race/Ethnicity: Non-Hispanic White,% Cases Race/Ethnicity: Unknown,% Deaths Age [0-4],% Deaths Age [18-34],% Deaths Age [35-49],% Deaths Age [5-17],% Deaths Age [50-64],% Deaths Age [65+],% Deaths Race/Ethnicity: Another/Multiple,% Deaths Race/Ethnicity: Asian/Pacific Islander,% Deaths Race/Ethnicity: Hispanic/Latino,% Deaths Race/Ethnicity: Non-Hispanic Black,% Deaths Race/Ethnicity: Non-Hispanic White,% Deaths Race/Ethnicity: Unknown,% Total Cases: Female,% Total Cases: Male,% Total Cases: Unknown Gender,% Total Deaths: Female,% Total Deaths: Male,Confirmed Cases,Kent County: Positive Cases,New Castle County: Positive Cases,Probable Cases,Scrape_Time,Sussex County: Positive Cases,Total Cases,Total Cases: Female,Total Cases: Male,Total Cases: Unknown Gender,Total Deaths,Total Deaths: Female,Total Deaths: Male,Total Negative,Total Recovered
433,7654,5480,1692,4866,3722,1098,330,5179,6211,9307,1722,0,13,19,0,86,562,12,1,49,177,440,1,2,32,23,7,20,16,5,1,22,26,39,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,52,48,1123,3407,12579,1464,2020-10-24 19:55:51.044808,7770,23847,12864,10941,42,680,354,326,313429,12610
436,7692,5506,1706,4889,3732,1103,333,5191,6243,9364,1727,0,13,19,0,86,563,12,1,49,178,440,1,2,32,23,7,20,16,5,1,22,26,39,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,52,48,1123,3422,12646,1464,2020-10-25 20:06:36.552631,7802,23961,12925,10995,41,681,355,326,315380,12643
436,7692,5506,1706,4889,3732,1103,333,5191,6243,9364,1727,0,13,19,0,86,563,12,1,49,178,440,1,2,32,23,7,20,16,5,1,22,26,39,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,52,48,1123,3422,12646,1464,2020-10-26 09:47:06.681450,7802,23961,12925,10995,41,681,355,326,315380,12732
440,7773,5570,1743,4948,3775,1121,343,5235,6316,9506,1728,0,13,19,0,86,568,12,1,49,180,443,1,2,32,23,7,20,16,5,1,22,26,39,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,52,48,1135,3462,12814,1481,2020-10-27 20:10:19.376687,7882,24249,13081,11128,40,686,356,330,318892,12846
445,7814,5596,1755,4983,3799,1124,344,5264,6337,9596,1727,0,13,19,0,86,570,12,1,49,180,445,1,2,32,23,7,20,16,5,1,22,26,39,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,52,48,1141,3481,12895,1487,2020-10-28 20:04:22.412456,7925,24392,13156,11197,39,688,358,330,320547,12934
445,7848,5636,1775,5011,3838,1132,347,5294,6363,9687,1730,0,13,19,0,86,571,12,1,49,180,446,1,2,32,23,7,20,16,5,1,22,26,39,7,0,2,3,0,12,83,2,0,7,26,65,0,54,46,0,52,48,1148,3505,12989,1499,2020-10-29 20:10:50.748986,7968,24553,13242,11272,39,689,358,331,321870,13008
455,7882,5686,1804,5048,3876,1132,348,5323,6410,9806,1732,0,13,19,0,88,584,12,1,50,183,457,1,2,32,23,7,20,16,5,1,22,26,40,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,51,49,1157,3545,13079,1505,2020-10-30 19:41:50.989996,8036,24751,13349,11363,39,704,362,342,323776,13074
463,7937,5731,1826,5085,3909,1142,349,5355,6451,9921,1733,0,13,19,0,89,587,12,1,50,183,461,1,2,32,23,7,20,16,5,1,21,26,40,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,51,49,1164,3569,13192,1519,2020-10-31 20:07:35.017628,8099,24951,13465,11447,39,708,364,344,325777,13188
464,7987,5756,1842,5120,3957,1152,350,5379,6488,10018,1739,0,13,19,0,90,588,12,1,50,183,463,1,2,32,23,7,20,16,5,1,21,26,40,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,51,49,1171,3606,13259,1525,2020-11-01 20:21:42.320559,8170,25126,13567,11520,39,710,364,346,327222,13291
465,8029,5799,1870,5164,3984,1165,354,5401,6520,10123,1748,0,13,19,0,90,588,12,1,50,183,463,1,2,32,23,7,20,16,5,1,21,26,40,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,51,49,1177,3613,13394,1525,2020-11-02 19:56:06.607939,8213,25311,13656,11616,39,710,364,346,329359,13375
463,8066,5814,1889,5195,3999,1168,357,5420,6541,10199,1741,0,13,19,0,90,590,12,2,50,183,464,1,2,32,23,7,20,16,5,1,21,26,40,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,51,49,1190,3629,13451,1526,2020-11-03 20:19:15.403996,8255,25426,13730,11657,39,712,364,348,330241,13497
464,8093,5839,1895,5224,4019,1173,358,5437,6564,10264,1738,0,13,19,0,90,590,12,2,50,183,464,1,2,32,23,7,20,16,5,1,21,26,40,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,51,49,1198,3636,13507,1526,2020-11-04 20:17:29.276284,8299,25534,13790,11705,39,712,364,348,331130,13598
469,8170,5885,1918,5270,4041,1192,365,5470,6610,10380,1736,0,13,19,0,92,592,12,2,50,184,467,1,2,32,23,7,20,16,5,1,21,26,40,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,51,49,1199,3681,13639,1527,2020-11-05 21:26:22.669163,8342,25753,13910,11804,39,716,367,349,332633,13685
481,8258,5950,1953,5317,4076,1204,371,5531,6677,10508,1744,0,13,19,0,92,592,12,2,50,184,467,1,2,32,23,8,20,16,5,1,21,26,40,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,51,49,1200,3717,13818,1531,2020-11-06 20:01:39.923442,8408,26035,14055,11941,39,716,367,349,334846,13766
487,8363,5990,1969,5360,4089,1208,377,5567,6723,10625,1758,0,13,19,0,92,592,12,2,50,184,467,1,2,32,23,7,20,16,5,1,21,26,40,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,51,49,1201,3741,13964,1533,2020-11-07 20:52:10.010919,8461,26258,14186,12033,39,716,367,349,336673,13888
499,8478,6074,1997,5426,4129,1233,394,5630,6794,10786,1766,0,13,19,0,92,594,12,2,50,184,469,1,2,32,23,8,20,16,5,1,21,26,41,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,51,49,1208,3778,14204,1535,2020-11-08 20:27:12.031100,8528,26603,14380,12183,40,718,367,351,338676,14019
511,8586,6132,2039,5473,4167,1254,408,5689,6852,10918,1787,0,13,19,0,92,595,12,2,50,184,470,1,2,32,23,8,20,15,5,2,21,25,41,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,51,49,1211,3812,14414,1535,2020-11-09 19:20:28.283308,8589,26908,14540,12326,42,719,368,351,340672,14158
515,8652,6175,2074,5506,4190,1263,410,5738,6895,11000,1806,0,13,19,0,93,597,12,2,52,184,471,1,2,32,23,8,20,15,5,2,21,25,41,7,0,2,3,0,13,83,2,0,7,25,65,0,54,46,0,51,49,1214,3829,14545,1545,2020-11-10 19:44:27.933360,8645,27112,14662,12409,41,722,368,354,342019,14276
518,8749,6225,2090,5539,4221,1275,418,5786,6948,11104,1811,0,13,19,0,94,598,12,2,52,185,472,1,2,32,23,8,20,15,5,2,21,25,41,7,0,2,3,0,13,83,2,0,7,26,65,0,54,46,0,51,49,1221,3874,14675,1565,2020-11-11 19:46:35.754558,8700,27342,14792,12508,42,724,370,354,343283,14380
524,8818,6279,2111,5578,4236,1292,422,5819,7004,11202,1807,0,13,19,0,94,606,12,2,52,186,479,1,2,32,23,8,20,15,5,2,21,25,41,7,0,2,3,0,13,83,2,0,7,25,65,0,54,46,0,51,49,1226,3901,14800,1568,2020-11-12 20:46:33.901230,8752,27546,14909,12594,43,732,376,356,344688,14487
540,8948,6393,2172,5679,4284,1352,426,5891,7104,11415,1828,0,13,19,0,94,608,12,2,52,186,481,1,2,32,23,8,20,15,5,2,21,25,41,7,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,51,49,1238,3956,15113,1568,2020-11-13 21:17:29.691773,8854,28016,15160,12812,44,734,378,356,347207,14571
547,9112,6460,2209,5756,4311,1367,433,5932,7211,11593,1859,0,13,19,0,94,610,12,2,52,186,483,1,2,32,23,8,20,15,5,2,21,25,41,7,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,51,49,1252,4027,15341,1568,2020-11-14 20:00:10.019266,8932,28395,15370,12980,45,736,378,358,348969,14727
564,9228,6537,2274,5833,4367,1420,442,5991,7299,11779,1872,0,13,19,0,94,610,12,2,52,186,483,1,2,32,23,8,20,15,5,2,21,25,41,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,51,49,1256,4044,15629,1568,2020-11-15 19:59:17.623442,9035,28803,15587,13168,48,736,378,358,351012,14867
580,9368,6622,2325,5893,4412,1447,450,6039,7383,11993,1888,0,13,19,0,94,610,12,2,52,186,483,1,2,32,23,8,20,15,5,2,21,25,41,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,51,49,1269,4100,15866,1569,2020-11-16 19:55:27.827865,9139,29200,15781,13371,48,736,378,358,353709,15007
593,9473,6699,2379,5962,4446,1464,463,6099,7460,12175,1891,0,13,19,0,94,613,12,2,52,186,486,1,2,32,23,8,20,15,5,2,21,25,41,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,51,49,1271,4140,16123,1577,2020-11-17 20:35:14.265792,9194,29552,15953,13551,48,739,379,360,355924,15161
596,9532,6744,2398,6011,4474,1461,467,6124,7523,12283,1897,0,13,20,0,95,614,12,2,52,186,489,1,2,32,23,8,20,15,5,2,21,25,41,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,51,49,1282,4172,16240,1578,2020-11-18 20:01:02.923856,9247,29755,16062,13644,49,742,380,362,356918,15301
600,9677,6822,2437,6095,4522,1496,475,6190,7582,12504,1906,0,13,20,0,95,614,12,2,52,186,489,1,2,32,23,8,20,15,5,2,21,25,41,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,51,49,1293,4225,16490,1584,2020-11-19 20:32:59.033622,9341,30153,16272,13831,50,742,380,362,358868,15435
617,9906,6946,2520,6230,4597,1552,486,6293,7731,12825,1929,0,13,20,0,96,617,12,2,52,187,492,1,2,32,23,8,20,15,5,2,20,25,42,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,51,49,1305,4324,16900,1591,2020-11-20 21:17:16.952182,9493,30816,16607,14158,51,746,382,364,362466,15534
654,10213,7173,2633,6427,4708,1643,507,6434,7940,13305,1979,0,13,20,0,98,617,12,2,52,188,493,1,2,32,23,8,20,15,5,2,20,25,42,6,0,2,3,0,13,82,2,0,7,25,66,0,54,46,0,51,49,1316,4439,17587,1602,2020-11-22 19:51:23.847354,9682,31808,17144,14613,51,748,383,365,368628,15890
667,10322,7270,2685,6503,4764,1675,518,6499,8037,13487,1995,0,13,20,0,98,621,12,2,52,189,496,1,2,32,23,8,20,15,5,2,20,25,42,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,51,49,1319,4498,17820,1602,2020-11-23 20:08:36.300294,9793,32211,17385,14775,51,752,387,365,370630,16073
682,10469,7358,2742,6584,4829,1697,526,6559,8146,13733,2003,0,13,20,0,98,626,12,2,52,189,501,1,2,32,23,8,20,15,5,2,20,25,42,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,52,48,1328,4562,18121,1613,2020-11-24 23:53:45.127414,9876,32664,17637,14977,50,757,391,366,373543,16262
685,10585,7432,2782,6642,4869,1700,529,6619,8197,13934,2016,0,13,20,0,98,629,12,2,52,189,504,1,2,32,23,8,20,15,5,2,20,25,42,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,52,48,1339,4613,18359,1622,2020-11-25 19:33:28.054944,9918,32995,17808,15133,54,760,392,368,375659,16538
692,10732,7570,2843,6775,4967,1777,539,6693,8326,14222,2022,0,13,20,0,98,630,12,2,52,189,505,1,2,32,23,8,20,15,5,2,20,25,42,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,52,48,1355,4693,18709,1632,2020-11-26 20:03:00.871791,10069,33579,18089,15436,54,761,393,368,378833,16712
706,10901,7707,2914,6917,5025,1823,557,6771,8452,14518,2049,0,13,20,0,98,632,12,2,52,189,507,1,2,32,23,9,20,15,5,2,20,25,42,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,52,48,1370,4798,19088,1633,2020-11-27 20:05:36.910081,10175,34170,18384,15731,55,763,393,370,381889,16874
719,11059,7823,2978,7009,5082,1849,565,6843,8569,14778,2066,0,13,20,0,98,632,12,2,52,189,507,1,2,32,23,9,20,15,5,2,20,25,43,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,52,48,1372,4899,19409,1633,2020-11-28 20:04:45.629005,10253,34670,18640,15975,55,763,393,370,384574,17082
742,11241,7954,3054,7118,5142,1898,583,6920,8698,15070,2082,0,13,20,0,100,637,12,2,52,191,512,1,2,32,23,9,20,15,5,2,20,25,43,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,52,48,1375,4975,19788,1634,2020-11-29 21:33:04.981499,10377,35251,18933,16263,55,770,397,373,387133,17279
757,11385,8037,3085,7199,5191,1935,597,6971,8855,15217,2079,0,13,20,0,100,639,12,2,53,191,513,1,2,32,23,9,20,15,5,2,20,25,43,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,51,49,1378,5103,20004,1634,2020-11-30 20:31:28.908096,10436,35654,19112,16486,56,772,397,375,388688,17463
783,11582,8191,3168,7356,5263,1969,628,7090,8997,15550,2109,0,13,20,0,100,644,12,2,53,193,516,1,2,32,23,9,20,14,5,2,20,25,43,6,0,2,3,0,13,83,2,0,7,25,66,0,54,46,0,51,49,1380,5190,20501,1637,2020-12-01 20:03:57.087935,10558,36343,19461,16826,56,777,400,377,390907,17713
