County Name,Scrape Time,Total Deaths,Total Negative Cases,Total Positive Cases,Total Recovered Cases
Lyman,2020-09-04 20:57:45.223077,3,1102,104,87
Marshall,2020-09-04 20:57:45.223077,0,552,19,15
McCook,2020-09-04 20:57:45.223077,1,751,54,39
McPherson,2020-09-04 20:57:45.223077,0,257,11,9
Meade,2020-09-04 20:57:45.223077,1,2344,332,195
Mellette,2020-09-04 20:57:45.223077,0,410,25,24
Miner,2020-09-04 20:57:45.223077,0,290,17,15
Minnehaha,2020-09-04 20:57:45.223077,71,32711,5496,4776
Moody,2020-09-04 20:57:45.223077,0,737,48,37
Oglala Lakota,2020-09-04 20:57:45.223077,2,3094,187,153
Pennington,2020-09-04 20:57:45.223077,33,12724,1560,1085
Perkins,2020-09-04 20:57:45.223077,0,231,23,10
Potter,2020-09-04 20:57:45.223077,0,353,20,5
Roberts,2020-09-04 20:57:45.223077,1,2220,104,88
Sanborn,2020-09-04 20:57:45.223077,0,268,16,13
Spink,2020-09-04 20:57:45.223077,0,1330,57,37
Stanley,2020-09-04 20:57:45.223077,0,317,22,20
Sully,2020-09-04 20:57:45.223077,0,108,8,8
Todd,2020-09-04 20:57:45.223077,5,2510,86,71
Lincoln,2020-09-05 20:15:53.686463,2,8448,972,807
Lyman,2020-09-05 20:15:53.686463,3,1116,104,88
Marshall,2020-09-05 20:15:53.686463,0,557,19,17
McCook,2020-09-05 20:15:53.686463,1,752,58,39
McPherson,2020-09-05 20:15:53.686463,0,257,12,9
Meade,2020-09-05 20:15:53.686463,1,2342,338,201
Mellette,2020-09-05 20:15:53.686463,0,410,25,24
Miner,2020-09-05 20:15:53.686463,0,292,17,15
Minnehaha,2020-09-05 20:15:53.686463,71,32918,5548,4817
Moody,2020-09-05 20:15:53.686463,0,740,51,37
Oglala Lakota,2020-09-05 20:15:53.686463,2,3100,193,157
Pennington,2020-09-05 20:15:53.686463,33,12769,1598,1116
Perkins,2020-09-05 20:15:53.686463,0,232,23,10
Potter,2020-09-05 20:15:53.686463,0,362,24,6
Roberts,2020-09-05 20:15:53.686463,1,2250,105,88
Sanborn,2020-09-05 20:15:53.686463,0,269,16,13
Spink,2020-09-05 20:15:53.686463,0,1343,60,38
Stanley,2020-09-05 20:15:53.686463,0,319,22,20
Sully,2020-09-05 20:15:53.686463,0,112,8,8
Todd,2020-09-05 20:15:53.686463,5,2523,87,72
Lincoln,2020-09-06 20:15:17.055465,2,8511,993,827
Lyman,2020-09-06 20:15:17.055465,3,1121,104,89
Marshall,2020-09-06 20:15:17.055465,0,558,19,17
McCook,2020-09-06 20:15:17.055465,1,758,59,43
McPherson,2020-09-06 20:15:17.055465,0,258,12,10
Meade,2020-09-06 20:15:17.055465,1,2342,344,213
Mellette,2020-09-06 20:15:17.055465,0,410,25,24
Miner,2020-09-06 20:15:17.055465,0,293,17,17
Minnehaha,2020-09-06 20:15:17.055465,71,33122,5578,4864
Moody,2020-09-06 20:15:17.055465,0,750,55,37
Oglala Lakota,2020-09-06 20:15:17.055465,2,3103,195,158
Pennington,2020-09-06 20:15:17.055465,33,12811,1617,1140
Perkins,2020-09-06 20:15:17.055465,0,235,23,11
Potter,2020-09-06 20:15:17.055465,0,370,24,10
Roberts,2020-09-06 20:15:17.055465,1,2244,105,88
Sanborn,2020-09-06 20:15:17.055465,0,269,16,14
Spink,2020-09-06 20:15:17.055465,0,1346,67,40
Stanley,2020-09-06 20:15:17.055465,0,326,22,21
Sully,2020-09-06 20:15:17.055465,0,113,8,8
Todd,2020-09-06 20:15:17.055465,5,2525,87,73
Lincoln,2020-09-07 20:35:00.524075,2,8552,998,845
Lyman,2020-09-07 20:35:00.524075,3,1123,104,90
Marshall,2020-09-07 20:35:00.524075,0,561,19,17
McCook,2020-09-07 20:35:00.524075,1,763,60,44
McPherson,2020-09-07 20:35:00.524075,0,261,14,10
Meade,2020-09-07 20:35:00.524075,1,2344,348,230
Mellette,2020-09-07 20:35:00.524075,0,410,25,24
Miner,2020-09-07 20:35:00.524075,0,296,17,17
Minnehaha,2020-09-07 20:35:00.524075,71,33295,5601,4918
Moody,2020-09-07 20:35:00.524075,0,755,55,37
Oglala Lakota,2020-09-07 20:35:00.524075,2,3109,196,163
Pennington,2020-09-07 20:35:00.524075,33,12840,1635,1187
Perkins,2020-09-07 20:35:00.524075,0,243,22,11
Potter,2020-09-07 20:35:00.524075,0,372,25,12
Roberts,2020-09-07 20:35:00.524075,1,2250,105,89
Sanborn,2020-09-07 20:35:00.524075,0,271,16,14
Spink,2020-09-07 20:35:00.524075,0,1349,70,44
Stanley,2020-09-07 20:35:00.524075,0,328,23,22
Sully,2020-09-07 20:35:00.524075,0,113,8,8
Todd,2020-09-07 20:35:00.524075,5,2526,87,73
Lincoln,2020-09-08 20:10:39.758441,2,8593,1007,862
Lyman,2020-09-08 20:10:39.758441,3,1123,104,90
Marshall,2020-09-08 20:10:39.758441,0,565,20,17
McCook,2020-09-08 20:10:39.758441,1,769,61,48
McPherson,2020-09-08 20:10:39.758441,0,263,16,11
Meade,2020-09-08 20:10:39.758441,1,2344,346,247
Mellette,2020-09-08 20:10:39.758441,0,410,25,24
Miner,2020-09-08 20:10:39.758441,0,296,17,17
Minnehaha,2020-09-08 20:10:39.758441,71,33423,5625,4983
Moody,2020-09-08 20:10:39.758441,0,758,56,37
Oglala Lakota,2020-09-08 20:10:39.758441,2,3106,196,163
Pennington,2020-09-08 20:10:39.758441,33,12850,1642,1239
Perkins,2020-09-08 20:10:39.758441,0,246,24,12
Potter,2020-09-08 20:10:39.758441,0,379,25,15
Roberts,2020-09-08 20:10:39.758441,1,2255,105,91
Sanborn,2020-09-08 20:10:39.758441,0,273,16,14
Spink,2020-09-08 20:10:39.758441,0,1356,70,45
Stanley,2020-09-08 20:10:39.758441,0,329,23,22
Sully,2020-09-08 20:10:39.758441,0,113,8,8
Todd,2020-09-08 20:10:39.758441,5,2526,87,73
Lincoln,2020-09-09 20:11:27.829646,2,8711,1015,877
Lyman,2020-09-09 20:11:27.829646,3,1119,104,98
Marshall,2020-09-09 20:11:27.829646,0,566,21,17
McCook,2020-09-09 20:11:27.829646,1,772,61,49
McPherson,2020-09-09 20:11:27.829646,0,264,16,11
Meade,2020-09-09 20:11:27.829646,1,2354,348,269
Mellette,2020-09-09 20:11:27.829646,0,414,25,25
Miner,2020-09-09 20:11:27.829646,0,297,17,17
Minnehaha,2020-09-09 20:11:27.829646,71,33714,5653,5068
Moody,2020-09-09 20:11:27.829646,0,761,57,39
Oglala Lakota,2020-09-09 20:11:27.829646,2,3109,195,168
Pennington,2020-09-09 20:11:27.829646,33,12964,1666,1298
Perkins,2020-09-09 20:11:27.829646,0,247,24,16
Potter,2020-09-09 20:11:27.829646,0,382,25,15
Roberts,2020-09-09 20:11:27.829646,1,2266,107,92
Sanborn,2020-09-09 20:11:27.829646,0,274,15,14
Spink,2020-09-09 20:11:27.829646,0,1360,72,46
Stanley,2020-09-09 20:11:27.829646,0,330,23,22
Sully,2020-09-09 20:11:27.829646,0,113,8,8
Todd,2020-09-09 20:11:27.829646,5,2571,87,76
Lincoln,2020-09-10 20:37:21.523746,2,8813,1030,889
Lyman,2020-09-10 20:37:21.523746,3,1126,104,98
Marshall,2020-09-10 20:37:21.523746,0,566,22,18
McCook,2020-09-10 20:37:21.523746,1,778,66,49
McPherson,2020-09-10 20:37:21.523746,0,267,16,11
Meade,2020-09-10 20:37:21.523746,1,2372,364,277
Mellette,2020-09-10 20:37:21.523746,0,420,25,25
Miner,2020-09-10 20:37:21.523746,0,298,17,17
Minnehaha,2020-09-10 20:37:21.523746,72,33947,5689,5113
Moody,2020-09-10 20:37:21.523746,0,765,58,40
Oglala Lakota,2020-09-10 20:37:21.523746,2,3117,198,169
Pennington,2020-09-10 20:37:21.523746,33,13075,1701,1341
Perkins,2020-09-10 20:37:21.523746,0,247,24,17
Potter,2020-09-10 20:37:21.523746,0,381,26,15
Roberts,2020-09-10 20:37:21.523746,1,2287,109,94
Sanborn,2020-09-10 20:37:21.523746,0,276,15,14
Spink,2020-09-10 20:37:21.523746,0,1377,73,46
Stanley,2020-09-10 20:37:21.523746,0,333,23,22
Sully,2020-09-10 20:37:21.523746,0,113,8,8
Todd,2020-09-10 20:37:21.523746,5,2570,87,76
Lincoln,2020-09-11 20:34:29.341075,2,8923,1046,896
Lyman,2020-09-11 20:34:29.341075,3,1127,104,99
Marshall,2020-09-11 20:34:29.341075,0,569,22,18
McCook,2020-09-11 20:34:29.341075,1,789,67,53
McPherson,2020-09-11 20:34:29.341075,0,267,18,12
Meade,2020-09-11 20:34:29.341075,1,2387,371,283
Mellette,2020-09-11 20:34:29.341075,0,420,25,25
Miner,2020-09-11 20:34:29.341075,0,299,17,17
Minnehaha,2020-09-11 20:34:29.341075,72,34235,5772,5164
Moody,2020-09-11 20:34:29.341075,0,767,62,42
Oglala Lakota,2020-09-11 20:34:29.341075,2,3122,198,171
Pennington,2020-09-11 20:34:29.341075,33,13192,1731,1369
Perkins,2020-09-11 20:34:29.341075,0,247,24,17
Potter,2020-09-11 20:34:29.341075,0,386,27,15
Roberts,2020-09-11 20:34:29.341075,1,2310,110,97
Sanborn,2020-09-11 20:34:29.341075,0,277,16,14
Spink,2020-09-11 20:34:29.341075,0,1376,78,51
Stanley,2020-09-11 20:34:29.341075,0,339,23,22
Sully,2020-09-11 20:34:29.341075,0,113,8,8
Todd,2020-09-11 20:34:29.341075,5,2565,90,77
Lincoln,2020-09-12 20:16:43.726638,2,8977,1064,914
Lyman,2020-09-12 20:16:43.726638,3,1134,106,99
Marshall,2020-09-12 20:16:43.726638,0,570,24,18
McCook,2020-09-12 20:16:43.726638,1,795,68,55
McPherson,2020-09-12 20:16:43.726638,0,270,18,12
Meade,2020-09-12 20:16:43.726638,2,2411,378,295
Mellette,2020-09-12 20:16:43.726638,0,420,25,25
Miner,2020-09-12 20:16:43.726638,0,300,17,17
Minnehaha,2020-09-12 20:16:43.726638,74,34555,5839,5216
Moody,2020-09-12 20:16:43.726638,0,778,63,47
Oglala Lakota,2020-09-12 20:16:43.726638,3,3125,200,180
Pennington,2020-09-12 20:16:43.726638,33,13268,1766,1408
Perkins,2020-09-12 20:16:43.726638,0,247,24,18
Potter,2020-09-12 20:16:43.726638,0,384,28,16
Roberts,2020-09-12 20:16:43.726638,1,2339,122,97
Sanborn,2020-09-12 20:16:43.726638,0,278,16,14
Spink,2020-09-12 20:16:43.726638,0,1376,79,52
Stanley,2020-09-12 20:16:43.726638,0,342,25,22
Sully,2020-09-12 20:16:43.726638,0,113,8,8
Todd,2020-09-12 20:16:43.726638,5,2595,90,78
Lincoln,2020-09-13 20:15:57.185196,2,9051,1079,924
Lyman,2020-09-13 20:15:57.185196,3,1136,106,101
Marshall,2020-09-13 20:15:57.185196,0,574,26,18
McCook,2020-09-13 20:15:57.185196,1,800,70,56
McPherson,2020-09-13 20:15:57.185196,0,273,19,11
Meade,2020-09-13 20:15:57.185196,3,2424,384,302
Mellette,2020-09-13 20:15:57.185196,0,420,25,25
Miner,2020-09-13 20:15:57.185196,0,301,19,17
Minnehaha,2020-09-13 20:15:57.185196,74,34852,5874,5259
Moody,2020-09-13 20:15:57.185196,0,787,63,50
Oglala Lakota,2020-09-13 20:15:57.185196,3,3151,203,181
Pennington,2020-09-13 20:15:57.185196,33,13331,1795,1442
Perkins,2020-09-13 20:15:57.185196,0,247,24,19
Potter,2020-09-13 20:15:57.185196,0,387,30,17
Roberts,2020-09-13 20:15:57.185196,1,2349,123,97
Sanborn,2020-09-13 20:15:57.185196,0,279,17,15
Spink,2020-09-13 20:15:57.185196,0,1383,83,53
Stanley,2020-09-13 20:15:57.185196,0,344,27,22
Sully,2020-09-13 20:15:57.185196,0,116,8,8
Todd,2020-09-13 20:15:57.185196,5,2597,91,78
Lincoln,2020-09-14 20:14:29.329851,2,9100,1087,932
Lyman,2020-09-14 20:14:29.329851,3,1142,107,101
Marshall,2020-09-14 20:14:29.329851,0,578,27,18
McCook,2020-09-14 20:14:29.329851,1,804,71,57
McPherson,2020-09-14 20:14:29.329851,0,274,19,13
Meade,2020-09-14 20:14:29.329851,3,2440,392,305
Mellette,2020-09-14 20:14:29.329851,0,422,25,25
Miner,2020-09-14 20:14:29.329851,0,303,19,17
Minnehaha,2020-09-14 20:14:29.329851,74,35042,5898,5283
Moody,2020-09-14 20:14:29.329851,0,790,63,50
Oglala Lakota,2020-09-14 20:14:29.329851,3,3162,205,182
Pennington,2020-09-14 20:14:29.329851,33,13382,1814,1455
Perkins,2020-09-14 20:14:29.329851,0,253,24,19
Potter,2020-09-14 20:14:29.329851,0,390,30,19
Roberts,2020-09-14 20:14:29.329851,1,2370,126,97
Sanborn,2020-09-14 20:14:29.329851,0,284,17,15
Spink,2020-09-14 20:14:29.329851,0,1393,83,53
Stanley,2020-09-14 20:14:29.329851,0,348,27,22
Sully,2020-09-14 20:14:29.329851,0,116,8,8
Todd,2020-09-14 20:14:29.329851,5,2608,92,79
Lincoln,2020-09-16 09:20:13.612598,2,9162,1108,954
Lyman,2020-09-16 09:20:13.612598,3,1129,107,103
Marshall,2020-09-16 09:20:13.612598,0,581,28,18
McCook,2020-09-16 09:20:13.612598,1,807,75,58
McPherson,2020-09-16 09:20:13.612598,0,275,19,14
Meade,2020-09-16 09:20:13.612598,3,2453,405,319
Mellette,2020-09-16 09:20:13.612598,0,425,25,25
Miner,2020-09-16 09:20:13.612598,0,306,19,17
Minnehaha,2020-09-16 09:20:13.612598,74,35224,5938,5337
Moody,2020-09-16 09:20:13.612598,0,793,63,51
Oglala Lakota,2020-09-16 09:20:13.612598,3,3156,206,183
Pennington,2020-09-16 09:20:13.612598,33,13387,1841,1490
Perkins,2020-09-16 09:20:13.612598,0,253,25,20
Potter,2020-09-16 09:20:13.612598,0,395,31,20
Roberts,2020-09-16 09:20:13.612598,1,2361,128,99
Sanborn,2020-09-16 09:20:13.612598,0,287,17,15
Spink,2020-09-16 09:20:13.612598,0,1387,83,56
Stanley,2020-09-16 09:20:13.612598,0,351,27,23
Sully,2020-09-16 09:20:13.612598,0,117,8,8
Todd,2020-09-16 09:20:13.612598,5,2619,92,82
Lincoln,2020-09-16 20:20:32.628227,2,9257,1142,963
Lyman,2020-09-16 20:20:32.628227,3,1134,107,103
Marshall,2020-09-16 20:20:32.628227,0,588,29,18
McCook,2020-09-16 20:20:32.628227,1,812,77,60
McPherson,2020-09-16 20:20:32.628227,0,276,20,16
Meade,2020-09-16 20:20:32.628227,3,2817,416,323
Mellette,2020-09-16 20:20:32.628227,0,430,27,25
Miner,2020-09-16 20:20:32.628227,0,309,19,17
Minnehaha,2020-09-16 20:20:32.628227,76,35481,5992,5372
Moody,2020-09-16 20:20:32.628227,0,803,63,52
Oglala Lakota,2020-09-16 20:20:32.628227,3,3166,213,189
Pennington,2020-09-16 20:20:32.628227,34,14138,1862,1514
Perkins,2020-09-16 20:20:32.628227,0,260,27,21
Potter,2020-09-16 20:20:32.628227,0,397,31,20
Roberts,2020-09-16 20:20:32.628227,1,2384,131,102
Sanborn,2020-09-16 20:20:32.628227,0,287,17,15
Spink,2020-09-16 20:20:32.628227,0,1391,83,61
Stanley,2020-09-16 20:20:32.628227,0,356,27,23
Sully,2020-09-16 20:20:32.628227,0,118,8,8
Todd,2020-09-16 20:20:32.628227,5,2625,97,82
Lincoln,2020-09-17 20:27:03.291699,2,9320,1150,978
Lyman,2020-09-17 20:27:03.291699,3,1146,109,103
Marshall,2020-09-17 20:27:03.291699,0,589,31,18
McCook,2020-09-17 20:27:03.291699,1,819,78,62
McPherson,2020-09-17 20:27:03.291699,0,279,22,16
Meade,2020-09-17 20:27:03.291699,3,2842,422,330
Mellette,2020-09-17 20:27:03.291699,0,436,29,25
Miner,2020-09-17 20:27:03.291699,0,310,19,18
Minnehaha,2020-09-17 20:27:03.291699,76,35753,6033,5422
Moody,2020-09-17 20:27:03.291699,0,810,65,55
Oglala Lakota,2020-09-17 20:27:03.291699,3,3259,215,191
Pennington,2020-09-17 20:27:03.291699,34,14202,1897,1540
Perkins,2020-09-17 20:27:03.291699,0,270,27,21
Potter,2020-09-17 20:27:03.291699,0,399,33,21
Roberts,2020-09-17 20:27:03.291699,1,2407,139,104
Sanborn,2020-09-17 20:27:03.291699,0,292,17,15
Spink,2020-09-17 20:27:03.291699,0,1397,92,66
Stanley,2020-09-17 20:27:03.291699,0,361,28,23
Sully,2020-09-17 20:27:03.291699,0,119,9,8
Todd,2020-09-17 20:27:03.291699,5,2622,100,82
Lincoln,2020-09-18 20:14:28.026749,2,9408,1169,995
Lyman,2020-09-18 20:14:28.026749,3,1151,109,103
Marshall,2020-09-18 20:14:28.026749,0,602,33,20
McCook,2020-09-18 20:14:28.026749,1,827,78,63
McPherson,2020-09-18 20:14:28.026749,0,283,25,16
Meade,2020-09-18 20:14:28.026749,4,2877,430,334
Mellette,2020-09-18 20:14:28.026749,0,440,30,25
Miner,2020-09-18 20:14:28.026749,0,311,19,19
Minnehaha,2020-09-18 20:14:28.026749,76,36222,6105,5462
Moody,2020-09-18 20:14:28.026749,0,817,68,56
Oglala Lakota,2020-09-18 20:14:28.026749,3,3327,215,192
Pennington,2020-09-18 20:14:28.026749,34,14291,1926,1563
Perkins,2020-09-18 20:14:28.026749,0,277,28,21
Potter,2020-09-18 20:14:28.026749,0,402,33,21
Roberts,2020-09-18 20:14:28.026749,1,2485,139,106
Sanborn,2020-09-18 20:14:28.026749,0,289,17,15
Spink,2020-09-18 20:14:28.026749,0,1399,97,70
Stanley,2020-09-18 20:14:28.026749,0,374,29,24
Sully,2020-09-18 20:14:28.026749,0,122,9,8
Todd,2020-09-18 20:14:28.026749,5,2624,102,83
Lincoln,2020-09-19 21:06:28.754317,2,9479,1190,1012
Lyman,2020-09-19 21:06:28.754317,3,1158,110,103
Marshall,2020-09-19 21:06:28.754317,0,608,33,23
McCook,2020-09-19 21:06:28.754317,1,839,80,64
McPherson,2020-09-19 21:06:28.754317,0,285,27,16
Meade,2020-09-19 21:06:28.754317,4,2892,444,343
Mellette,2020-09-19 21:06:28.754317,0,444,29,25
Miner,2020-09-19 21:06:28.754317,0,313,19,19
Minnehaha,2020-09-19 21:06:28.754317,76,36557,6170,5491
Moody,2020-09-19 21:06:28.754317,0,821,69,58
Oglala Lakota,2020-09-19 21:06:28.754317,3,3395,219,193
Pennington,2020-09-19 21:06:28.754317,35,14387,1960,1588
Perkins,2020-09-19 21:06:28.754317,0,280,28,21
Potter,2020-09-19 21:06:28.754317,0,410,35,21
Roberts,2020-09-19 21:06:28.754317,1,2526,148,110
Sanborn,2020-09-19 21:06:28.754317,0,292,18,17
Spink,2020-09-19 21:06:28.754317,0,1403,102,73
Stanley,2020-09-19 21:06:28.754317,0,377,32,25
Sully,2020-09-19 21:06:28.754317,0,123,9,8
Todd,2020-09-19 21:06:28.754317,5,2626,104,84
Lincoln,2020-09-20 19:41:15.057197,2,9545,1204,1033
Lyman,2020-09-20 19:41:15.057197,3,1163,111,103
Marshall,2020-09-20 19:41:15.057197,0,612,35,26
McCook,2020-09-20 19:41:15.057197,1,845,83,67
McPherson,2020-09-20 19:41:15.057197,0,286,27,17
Meade,2020-09-20 19:41:15.057197,4,2931,453,358
Mellette,2020-09-20 19:41:15.057197,0,445,29,25
Miner,2020-09-20 19:41:15.057197,0,315,19,19
Minnehaha,2020-09-20 19:41:15.057197,78,36822,6216,5582
Moody,2020-09-20 19:41:15.057197,0,824,70,59
Oglala Lakota,2020-09-20 19:41:15.057197,3,3446,222,194
Pennington,2020-09-20 19:41:15.057197,35,14471,1984,1641
Perkins,2020-09-20 19:41:15.057197,0,288,30,21
Potter,2020-09-20 19:41:15.057197,0,443,37,23
Roberts,2020-09-20 19:41:15.057197,1,2522,157,117
Sanborn,2020-09-20 19:41:15.057197,0,294,19,17
Spink,2020-09-20 19:41:15.057197,0,1403,106,75
Stanley,2020-09-20 19:41:15.057197,0,382,32,25
Sully,2020-09-20 19:41:15.057197,0,124,9,8
Todd,2020-09-20 19:41:15.057197,5,2625,104,85
Lincoln,2020-09-21 20:52:22.333923,2,9578,1212,1045
Lyman,2020-09-21 20:52:22.333923,3,1162,112,103
Marshall,2020-09-21 20:52:22.333923,0,618,35,26
McCook,2020-09-21 20:52:22.333923,1,847,83,67
McPherson,2020-09-21 20:52:22.333923,0,286,27,17
Meade,2020-09-21 20:52:22.333923,4,2952,462,358
Mellette,2020-09-21 20:52:22.333923,0,445,29,25
Miner,2020-09-21 20:52:22.333923,0,320,19,19
Minnehaha,2020-09-21 20:52:22.333923,78,36927,6231,5641
Moody,2020-09-21 20:52:22.333923,0,830,71,59
Oglala Lakota,2020-09-21 20:52:22.333923,3,3456,229,194
Pennington,2020-09-21 20:52:22.333923,35,14541,2004,1647
Perkins,2020-09-21 20:52:22.333923,0,290,30,21
Potter,2020-09-21 20:52:22.333923,0,447,39,24
Roberts,2020-09-21 20:52:22.333923,1,2517,163,118
Sanborn,2020-09-21 20:52:22.333923,0,297,20,17
Spink,2020-09-21 20:52:22.333923,0,1405,106,77
Stanley,2020-09-21 20:52:22.333923,0,386,32,25
Sully,2020-09-21 20:52:22.333923,0,125,9,8
Todd,2020-09-21 20:52:22.333923,5,2629,105,85
Lincoln,2020-09-22 20:31:29.962313,2,9661,1223,1061
Lyman,2020-09-22 20:31:29.962313,3,1154,112,104
Marshall,2020-09-22 20:31:29.962313,0,623,37,27
McCook,2020-09-22 20:31:29.962313,1,859,85,69
McPherson,2020-09-22 20:31:29.962313,0,291,29,21
Meade,2020-09-22 20:31:29.962313,4,2982,475,374
Mellette,2020-09-22 20:31:29.962313,0,454,29,26
Miner,2020-09-22 20:31:29.962313,0,322,19,19
Minnehaha,2020-09-22 20:31:29.962313,78,37310,6293,5715
Moody,2020-09-22 20:31:29.962313,0,833,75,62
Oglala Lakota,2020-09-22 20:31:29.962313,3,3442,228,197
Pennington,2020-09-22 20:31:29.962313,35,14628,2041,1707
Perkins,2020-09-22 20:31:29.962313,0,299,34,24
Potter,2020-09-22 20:31:29.962313,0,448,39,25
Roberts,2020-09-22 20:31:29.962313,1,2510,163,119
Sanborn,2020-09-22 20:31:29.962313,0,297,22,17
Spink,2020-09-22 20:31:29.962313,0,1411,113,86
Stanley,2020-09-22 20:31:29.962313,0,388,32,27
Sully,2020-09-22 20:31:29.962313,0,127,9,8
Todd,2020-09-22 20:31:29.962313,5,2676,108,89
Lincoln,2020-09-23 20:15:32.868954,2,9765,1251,1071
Lyman,2020-09-23 20:15:32.868954,3,1174,120,105
Marshall,2020-09-23 20:15:32.868954,0,627,38,29
McCook,2020-09-23 20:15:32.868954,1,862,88,69
McPherson,2020-09-23 20:15:32.868954,0,293,29,21
Meade,2020-09-23 20:15:32.868954,4,3021,487,378
Mellette,2020-09-23 20:15:32.868954,0,455,30,26
Miner,2020-09-23 20:15:32.868954,0,330,19,19
Minnehaha,2020-09-23 20:15:32.868954,78,37746,6383,5739
Moody,2020-09-23 20:15:32.868954,0,838,78,63
Oglala Lakota,2020-09-23 20:15:32.868954,3,3458,235,199
Pennington,2020-09-23 20:15:32.868954,35,14767,2091,1728
Perkins,2020-09-23 20:15:32.868954,0,300,36,26
Potter,2020-09-23 20:15:32.868954,0,455,40,27
Roberts,2020-09-23 20:15:32.868954,1,2543,167,123
Sanborn,2020-09-23 20:15:32.868954,0,304,23,18
Spink,2020-09-23 20:15:32.868954,0,1458,115,87
Stanley,2020-09-23 20:15:32.868954,0,391,34,27
Sully,2020-09-23 20:15:32.868954,0,127,9,8
Todd,2020-09-23 20:15:32.868954,5,2672,112,91
Lincoln,2020-09-24 20:19:16.544413,2,9841,1264,1091
Lyman,2020-09-24 20:19:16.544413,3,1181,127,105
Marshall,2020-09-24 20:19:16.544413,0,628,37,29
McCook,2020-09-24 20:19:16.544413,1,863,91,70
McPherson,2020-09-24 20:19:16.544413,0,293,29,22
Meade,2020-09-24 20:19:16.544413,4,3071,500,387
Mellette,2020-09-24 20:19:16.544413,0,455,30,27
Miner,2020-09-24 20:19:16.544413,0,334,19,19
Minnehaha,2020-09-24 20:19:16.544413,80,37972,6453,5807
Moody,2020-09-24 20:19:16.544413,0,838,83,63
Oglala Lakota,2020-09-24 20:19:16.544413,3,3543,243,200
Pennington,2020-09-24 20:19:16.544413,36,14923,2142,1754
Perkins,2020-09-24 20:19:16.544413,0,304,36,27
Potter,2020-09-24 20:19:16.544413,0,458,42,27
Roberts,2020-09-24 20:19:16.544413,1,2578,174,127
Sanborn,2020-09-24 20:19:16.544413,0,307,24,18
Spink,2020-09-24 20:19:16.544413,0,1468,120,91
Stanley,2020-09-24 20:19:16.544413,0,396,36,28
Sully,2020-09-24 20:19:16.544413,0,127,9,8
Todd,2020-09-24 20:19:16.544413,5,2668,118,92
Lincoln,2020-09-25 20:24:09.988534,2,9931,1296,1114
Lyman,2020-09-25 20:24:09.988534,3,1212,146,107
Marshall,2020-09-25 20:24:09.988534,0,631,38,30
McCook,2020-09-25 20:24:09.988534,1,867,92,73
McPherson,2020-09-25 20:24:09.988534,0,299,31,26
Meade,2020-09-25 20:24:09.988534,5,3096,509,391
Mellette,2020-09-25 20:24:09.988534,0,457,30,27
Miner,2020-09-25 20:24:09.988534,0,334,20,19
Minnehaha,2020-09-25 20:24:09.988534,81,38417,6508,5852
Moody,2020-09-25 20:24:09.988534,0,848,85,64
Oglala Lakota,2020-09-25 20:24:09.988534,3,3657,252,202
Pennington,2020-09-25 20:24:09.988534,36,15121,2198,1778
Perkins,2020-09-25 20:24:09.988534,0,306,37,27
Potter,2020-09-25 20:24:09.988534,0,462,42,29
Roberts,2020-09-25 20:24:09.988534,1,2639,181,129
Sanborn,2020-09-25 20:24:09.988534,0,310,27,18
Spink,2020-09-25 20:24:09.988534,0,1475,124,92
Stanley,2020-09-25 20:24:09.988534,0,407,40,29
Sully,2020-09-25 20:24:09.988534,0,130,10,8
Todd,2020-09-25 20:24:09.988534,5,2673,122,92
